% Model:              GenSignalFourierDec.mph
% Version:            COMSOL 4.3.2.189
% Date:               Nov 25 2013, 12:07
% Table:              Probe Table 1 - 
% k                      m                        l                        gammac1*Ar, gammac1*Ar   gammas1*Ar, gammas1*Ar   gammac2*Ar, gammac2*Ar   gammas2*Ar, gammas2*Ar   gammac3*Ar, gammac3*Ar   gammas3*Ar, gammas3*Ar
11                       1                        3                        -1.0533525956647533E-15  -2.0340040246995E-15     -2.573621457143543E-13   7.682720853036738E-14    1.5046730171158325E-13   -9.04532946424658E-14
11                       1                        4                        -1.6223952045718751E-15  5.346032780742524E-16    -2.3716806784896112E-15  2.1207820509857069E-13   -3.301308851481977E-14   -1.349261404320846E-13
11                       2                        1                        -1.0851224647947765E-14  1.1071668819721574E-14   2.79600131954846E-13     8.215331777746973E-13    -3.034669055918788E-13   -4.807775549566311E-13
11                       2                        2                        1.2100483607984354E-15   -1.7116609314464338E-15  2.5134531171714942E-14   -8.690190444369178E-15   -1.465758348950595E-14   9.37611237403973E-15
11                       2                        3                        -8.031630241909124E-17   4.1593519286129534E-17   3.0336603269160497E-15   1.0162406600476136E-14   -3.571710812345567E-15   -5.941471679214339E-15
11                       2                        4                        -9.999061312175474E-17   -3.034479919707383E-16   -3.966647910309318E-14   -4.43592126628047E-16    2.523618552606219E-14    -6.174670259604096E-15
12                       1                        1                        1.3750626923081978E-14   1.1088663887127337E-14   9.529233954574535E-13    -4.832071642176705E-13   -5.433133671748725E-13   4.579936103047824E-13
12                       1                        2                        -4.000843405817754E-15   -2.148838244802029E-15   -2.2221317488838194E-14  -5.3414988995572314E-14  2.253878218969546E-14    3.1141368092857594E-14
12                       1                        3                        2.448281995275594E-15    3.952468992678039E-15    5.28707990452563E-13     -2.4073177650083646E-13  -3.0175413239165375E-13  2.405784419566961E-13
12                       1                        4                        -7.855705214805748E-16   2.2173720370008137E-16   1.998928456577918E-15    1.0701040795694732E-13   -1.860225348338724E-14   -6.874206189225225E-14
12                       2                        1                        -1.1409491015883425E-14  1.4148472344586007E-14   4.971877455466964E-13    9.804942263186202E-13    -4.7124469055825E-13     -5.590329948147949E-13
12                       2                        2                        -1.6024386009890745E-15  2.983521875360245E-15    -3.9832798233486874E-14  1.6570952697372094E-14   2.3222841664648786E-14   -1.6807693500382924E-14
12                       2                        3                        4.809358462621453E-15    -2.9790659345373517E-15  -2.9292207193487574E-13  -6.43331105895833E-13    2.9273549468010987E-13   3.6717398489141805E-13
12                       2                        4                        1.2066914124042005E-16   4.2750660976862043E-16   5.823494576943017E-14    -1.0878146580166946E-15  -3.740935412539432E-14   1.0123325791522613E-14
13                       1                        1                        2.4523619686836654E-14   1.6528439888416376E-14   1.5989650904950308E-12   -1.074658645040445E-12   -8.867066671873879E-13   9.484978879394054E-13
13                       1                        2                        0.12818504340183118      0.05062459928097932      0.7526058467090389       1.5860948764293392       -0.7356272356815797      -0.925837235519051
13                       1                        3                        5.167521655247181E-15    7.29411270973471E-15     1.0121919804673899E-12   -6.156763539914179E-13   -5.633578277493346E-13   5.653609234281095E-13
13                       1                        4                        1.3542467546880765E-16   -3.076638186931874E-17   -6.887984625749508E-16   -1.9183471806792966E-14  3.5323917918398156E-15   1.2457798303172736E-14
13                       2                        1                        -4.5421854595232336E-15  6.739343187307567E-15    2.953272604412857E-13    4.3941206991945075E-13   -2.6065698542148303E-13  -2.4367612173025905E-13
13                       2                        2                        -1.4214567088654122E-15  3.599228290349987E-15    -4.4534973810088295E-14  2.113195255155061E-14    2.5996009223164297E-14   -2.0655220668606715E-14
13                       2                        3                        6.09396317427192E-15     -4.317274482063231E-15   -5.143749730743193E-13   -8.456492104572017E-13   4.723382794763434E-13    4.706647665925217E-13
13                       2                        4                        2.334001383156289E-16    1.027359607029652E-15    1.4552978612895926E-13   -5.225367650262949E-15   -9.450743540847565E-14   2.6797454975804715E-14
14                       1                        1                        -4.9909968738373735E-15  -2.836699974953261E-15   -3.0733749434446614E-13  2.5802496531270704E-13   1.65340535397466E-13     -2.1807374276609861E-13
14                       1                        2                        -1.3624783190394718E-15  -3.6879644962983254E-16  -8.275833509874905E-15   -1.5837492588391314E-14  7.905073314717151E-15    9.268792684296123E-15
14                       1                        3                        -0.3213847752277084      -0.40968574082433684     -58.01200217337262       44.1574007594436         31.427875405141872       -38.53047281362137
14                       1                        4                        -6.120795554444268E-16   1.0173475231703181E-16   3.85302262392083E-15     9.015741423751084E-14    -1.692778802594456E-14   -5.924078605617093E-14
14                       2                        1                        -7.48042260222944E-15    1.316133752399922E-14    6.804159056761606E-13    8.104538228796581E-13    -5.750639012965134E-13   -4.360056011772025E-13
14                       2                        2                        -6.166153667683658E-16   2.27801831945755E-15     -2.6479759530337136E-14  1.3836917682501054E-14   1.5497112314253473E-14   -1.3217018998862336E-14
14                       2                        3                        -8.756913346799231E-16   6.869505934577906E-16    9.438515758949022E-14    1.2399896444030178E-13   -8.235776304469151E-14   -6.717616801168061E-14
14                       2                        4                        8.477896026683623E-17    5.100662962285479E-16    7.513117853679847E-14    -3.210852189280334E-15   -4.93673217167735E-14    1.4106490024167016E-14
15                       1                        1                        -7.151927784340496E-15   -3.4382182968523807E-15  -4.16316401218403E-13    4.220390267529714E-13    2.1645610087508597E-13   -3.4655477745229254E-13
15                       1                        2                        0.12768814487189037      0.020227128478429        0.7909203613736876       1.4072793132798815       -0.74444516397947        -0.8266316621142787
15                       1                        3                        2.9223186426496406E-15   3.446140003943242E-15    4.906995576908255E-13    -4.504292611290368E-13   -2.580124167596933E-13   3.799406040862961E-13
15                       1                        4                        -1.3284794719479872E-15  1.3439339828674812E-16   8.466712816058415E-15    2.0377223913202725E-13   -3.791876057139414E-14   -1.3554767290428883E-13
15                       2                        1                        -1.6784958901649624E-14  3.4914831918452596E-14   2.0603426274151683E-12   2.0324054730394346E-12   -1.691837805135829E-12   -1.0567120651197297E-12
15                       2                        2                        8.316243972122791E-16    -5.249809760360856E-15   5.785931561919002E-14    -3.2518143615510965E-14  -3.398638904732647E-14   3.0607348019671426E-14
15                       2                        3                        -3.0340378750679965E-15  2.5728570038627528E-15   3.9656526920551064E-13   4.320198951588498E-13    -3.345059056783843E-13   -2.2715834055131548E-13
15                       2                        4                        2.7567876573309672E-17   2.7250860964190115E-16   4.179943367108298E-14    -1.7367616050105068E-15  -2.7804650853918896E-14  7.778207298257403E-15
16                       1                        1                        -7.940565109621949E-15   -3.217675532894079E-15   -4.360701340982806E-13   5.2339750064506E-13      2.1790211089990018E-13   -4.210461130963682E-13
16                       1                        2                        -1.2870428694882704E-16  -6.987748539527176E-18   -8.052985145970119E-16   -1.3528496989038503E-15  7.505544380280054E-16    7.980634956790132E-16
16                       1                        3                        3.0761454004548775E-16   3.415320607114472E-16    4.825310396084778E-14    -5.2274897708405357E-14  -2.451771756414585E-14   4.3042900480241714E-14
16                       1                        4                        7.598141602719851E-16    -2.556869731407796E-17   -4.2287090578524084E-15  -1.216637277830528E-13   2.1973768631660655E-14   8.193751373657695E-14
16                       2                        1                        8.478054086224678E-15    -2.092210348479343E-14   -1.3790676760537865E-12  -1.1489742032901225E-12  1.1093883405381993E-12   5.741367836772849E-13
16                       2                        2                        6.291909714247729E-17    -1.1588793568488205E-15  1.2181331533791942E-14   -7.251070238939123E-15   -7.185924669854552E-15   6.758143532740682E-15
16                       2                        3                        1.0428641760311605E-15   -9.392974211712527E-16   -1.5962079230926333E-13  -1.4734029183907816E-13  1.3143099611734067E-13   7.486456547635674E-14
16                       2                        4                        -1.6129357443613253E-17  -4.79309291095669E-16    -7.674844477332775E-14   2.6675727438469476E-15   5.168818071242185E-14    -1.3861588818482287E-14
17                       1                        1                        -1.9113219515361067E-14  -6.453374437694713E-15   -9.850357762173053E-13   1.386045726552287E-12    4.690489379114063E-13    -1.0977857896103953E-12
17                       1                        2                        0.1244405985917472       -0.0055142622361020995   0.7821518388168934       1.2517844229166981       -0.7237652916069156      -0.7416550885513206
17                       1                        3                        -2.5729090918777315E-15  -2.7224257805643964E-15  -3.767795353605208E-13   4.76280408164042E-13     1.8376189628820123E-13   -3.850593104387839E-13
17                       1                        4                        -7.902051834196917E-16   -2.764178978665781E-17   3.264927795381678E-15    1.3248254292184207E-13   -2.289550551374198E-14   -9.031040056641485E-14
17                       2                        1                        -1.4617768819062312E-14  4.329403585562411E-14    3.139581656298082E-12    2.2312397013677217E-12   -2.486633782324348E-12   -1.0624594936562263E-12
17                       2                        2                        -1.4319009097043164E-16  -3.231377085299568E-15   3.250536839473994E-14    -2.031031317727039E-14   -1.925872493224636E-14   1.879417653967686E-14
17                       2                        3                        2.7584049757105514E-16   -2.606912295954491E-16   -4.8257486291220245E-14  -3.817590005048866E-14   3.9014820000295936E-14   1.8619046754757734E-14
17                       2                        4                        1.738600205659943E-17    -4.970195147000658E-16   -8.332824255312285E-14   2.053558832418303E-15    5.68030081350479E-14     -1.440070665424127E-14
18                       1                        1                        -5.731056424097548E-15   -1.5759719312741499E-15  -2.746636756932577E-13   4.521698900287295E-13    1.2296415096542099E-13   -3.536795924407255E-13
18                       1                        2                        -2.4063251859662346E-15  3.353764931424066E-16    -1.515927854558192E-14   -2.320639312293135E-14   1.3943750043405076E-14   1.3802741914520929E-14
18                       1                        3                        -0.3333458502707278      -0.3387188065932262      -45.31486606276128       66.59955508175811        20.992435860935114       -53.0587731646658
18                       1                        4                        2.9384849037167804E-16   3.046577909928084E-17    -6.838040277790235E-16   -5.174613370315901E-14   8.489104163763315E-15    3.5682967457487684E-14
18                       2                        1                        9.361362633416954E-15    -3.404280012933034E-14   -2.685914786312228E-12   -1.6315178074731861E-12  2.1008768338422223E-12   7.304140288739205E-13
18                       2                        2                        1.7273870873988802E-15   1.2393996416667873E-14   -1.1952663543865932E-13  7.807924094706681E-14    7.109227582859673E-14    -7.181855100022578E-14
18                       2                        3                        3.4404530634713007E-16   -3.385878580231542E-16   -6.764686190132182E-14   -4.602746192567737E-14   5.389314532809016E-14    2.13225509891473E-14
